SRSXF.KEY$,SRSXF.NOTCH.NO%,SRSXF.SHELF.KEY%,SRSXF.SHELF.DESC$
3;6108000103,36,319,Fragrance Shelf                                     
59108000203,36,319,Fragrance Shelf                                     
=79208000103,3,646,Water FSDU Shelf                                    
609208000501,50,881,Clip Strip                                          
170008000802,28,41,400 Wood Shelf                                      
639<08000103,14,1702,Three Way Gondola Shelf - Cent                      
:=0008000202,27,41,400 Wood Shelf                                      
7?7<08000407,5,1004,400mm Metal Wall Base Shelf wi                      
170008000805,2,897,400 GF/GL Lower Base Shelf                          
7;3<08000102,20,41,400 Wood Shelf                                      
5=5608000102,27,41,400 Wood Shelf                                      
709=08000101,0,1546,400mm Mid Gondola Site                              
133>08000308,30,990,400mm Metal Shelf with Divider                      
8>9<08000105,0,1704,Three Way Gondola Shelf - Left                      
048808000701,2,897,400 GF/GL Lower Base Shelf                          
450008000?03,22,41,400 Wood Shelf                                      
777608000504,26,824,300mm Metal Shelf with Divider                      
<79108000205,5,923,400mm Metal Wall Base Shelf                         
<>1808000114,14,1556,Dummy Pack - Tray                                   
059>08000104,2,534,BFSDU Shelf                                         
9?9;08000101,33,41,400 Wood Shelf                                      
59108000503,36,319,Fragrance Shelf                                     
133>08000409,12,990,400mm Metal Shelf with Divider                      
;33108000505,7,1370,Magazine Shelf 2 Tier 400mm Up                      
796=08000201,51,881,Clip Strip                                          
94508000106,2,897,400 GF/GL Lower Base Shelf                          
689108000403,36,319,Fragrance Shelf                                     
796=08000804,18,29,400 Wood Shelf with dividers                        
518;08000203,29,29,400 Wood Shelf with dividers                        
:40308000703,17,41,400 Wood Shelf                                      
730208000302,25,41,400 Wood Shelf                                      
457708000801,37,901,400 Wood Shelf with Dividers                        
:4:308000301,33,41,400 Wood Shelf                                      
4;408000102,27,534,BFSDU Shelf                                         
181008000404,29,824,300mm Metal Shelf with Divider                      
:9508000104,7,1701,Three Way Gondola Shelf - Left                      
769>08000103,15,1702,Three Way Gondola Shelf - Cent                      
5;808000105,1,1701,Three Way Gondola Shelf - Left                      
4?7:08000304,0,6,400 Base                                            
>:608000102,24,534,BFSDU Shelf                                         
:40308000603,17,41,400 Wood Shelf                                      
058808000104,38,1765,Glasses Frame Support Column                        
118:08000=06,2,897,400 GF/GL Lower Base Shelf                          
3;6108000702,44,319,Fragrance Shelf                                     
<>2608000502,25,115,300 Glass Shelf with dividers                       
<84508000223,21,824,300mm Metal Shelf with Divider                      
=8008000507,2,922,400 GF/GL Lower Base Shelf wit                      
689108000101,52,319,Fragrance Shelf                                     
2=9:08000304,5,1252,400 Wood Shelf with Navigation                      
:40308000<01,33,41,400 Wood Shelf                                      
:59=08000105,0,1704,Three Way Gondola Shelf - Left                      
453:08000604,5,252,500 Wood Shelf                                      
997708000404,16,433,IQM Single Half Width Shelf                         
624108000103,17,29,400 Wood Shelf with dividers                        
91880800010>,22,1816,Hanging Dump Bin incl Ticket H                      
<>2608000504,7,43,400 Glass Shelf with dividers                       
5<:>08000102,20,41,400 Wood Shelf                                      
94508000501,37,41,400 Wood Shelf                                      
>:;:08000103,8,41,400 Wood Shelf                                      
450008000:06,13,1740,Hanging Stocking Stand                              
115?08000:02,28,1381,300 Glass Shelf with Dividers                       
48508000304,7,43,400 Glass Shelf with dividers                       
;33108000106,7,1291,Magazine Shelf 2 Tier 400mm                         
3>9:08000103,12,534,BFSDU Shelf                                         
3>9708000101,30,1701,Three Way Gondola Shelf - Left                      
170008000501,34,41,400 Wood Shelf                                      
9:9?08000102,0,56,200 Wood Shelf                                      
450008000706,2,897,400 GF/GL Lower Base Shelf                          
>=5208000705,24,904,300 Glass Shelf with Dividers                       
509708000104,9,1704,Three Way Gondola Shelf - Left                      
<1:608000101,0,42,                                                    
09;908000103,15,1704,Three Way Gondola Shelf - Left                      
689108000607,5,319,Fragrance Shelf                                     
<<:<08000102,24,1701,Three Way Gondola Shelf - Left                      
>09908000101,0,1540,300mm Mid Gondola Site                              
7?7<08000201,48,901,400 Wood Shelf with Dividers                        
<>2608000306,2,922,400 GF/GL Lower Base Shelf wit                      
6=:108000101,31,1474,TOD 250 Shelf (Inc. Ticket Str                      
48??07000204,6,41,400 Wood Shelf                                      
3;6108000305,20,319,Fragrance Shelf                                     
>:3<08000102,25,41,400 Wood Shelf                                      
