SRPOG.KEY$,SRPOG.POGID%,SRPOG.ACT.DATE$,SRPOG.DEACT.DATE$,SRPOG.DESCRIPTION$,SRPOG.PLANNER.FAMILY$,SRPOG.MODULE.COUNT%,SRPOG.CAT.DBKEY%,SRPOG.KEY.LEVEL%,SRPOG.LIVE.RPT.CNT%,SRPOG.DATE.RPT.CNT$,SRPOG.PEND.RPT.CNT%,SRPOG.CAT1.ID%,SRPOG.CAT2.ID%,SRPOG.CAT3.ID%,SRPOG.FILLER$
9>?=0700,98744,20150516,21991231,3WayHCGE2                     ,Healthcare SP G End           ,1,168197090,3,1,20151223,1,1,6819,7090, 
:>980800,96308,20160120,21991231,Skin 1 Mid GL                 ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
>:3<0800,87798,20150921,21991231,ElecFemGroom2                 ,Electrical Female Grooming    ,2,100020012,3,1,20151223,1,1,2,12, 
15:60800,491144,20160203,21991231,0000491144                    ,Healthcare SP G End           ,1,168197090,3,255,20151223,1,1,6819,7090, 
3>970800,491035,20151125,20151229,0000491035                    ,Toiletries SP G End           ,1,168197090,3,1,20151223,255,1,6819,7090, 
7?7<0800,3434,20160104,21991231,WM Diet 4                     ,Weight Management And Dietary ,4,100020010,3,255,20151223,1,1,2,10, 
<0980800,217789,20151230,21991231,T-B Bowl                      ,IQM                           ,1,-1,3,255,20151223,2,1,6819,10071, 
28080700,352162,20140205,21991231,WSpace40                      ,Miscellaneous                 ,10,168199456,3,1,20151223,255,1,6819,9456, 
513=0800,518987,20150921,21991231,Frag6G                        ,Fine Fragrance Coffrets       ,6,100029642,3,1,20151223,255,1,2,9642, 
8<9>0800,10048,20160120,21991231,Cos End 3                     ,Cosmetics SP G End            ,1,168197090,3,255,20151223,1,1,6819,7090, 
840=0700,262500,20140416,21991231,BarryM R&R 1Mod               ,BarryM                        ,1,100020027,3,1,20151223,1,1,2,27, 
;070800,504082,20150526,21991231,BBEBFSDU3                     ,BFSDUs                        ,1,168197072,3,255,20151223,1,1,6819,7072, 
>1:60800,461212,20160203,21991231,LOreal 4 Mod R&R              ,L Oreal                       ,4,100020027,3,255,20151223,1,1,2,27, 
=?;:0800,159366,20160106,21991231,PClbFSDU                      ,Parenting Club                ,1,100020006,3,255,20151223,1,1,2,6, 
87:<0800,20286,20151230,20160119,ShmpCond Mid                  ,Mid Gondola                   ,1,168197115,3,255,20151223,2,1,6819,7115, 
26?0800,368679,20151028,20151229,No7 7J Wall                   ,No7 Cos                       ,7,100020024,3,1,20151223,255,1,2,24, 
;=:>0800,444446,20151230,20160119,Sun Preps Mid                 ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
=>840800,307556,20151125,20151229,Essie Hot Spot Stock POG      ,Essie SS Cosmetics            ,1,-1,3,1,20151223,255,1,6819,10967, 
:2:10800,98745,20151209,20160105,BabyEnd1                      ,Baby SP G End                 ,1,168197090,3,1,20151223,1,1,6819,7090, 
<9020800,1178,20150824,21991231,Hosiery4                      ,Hosiery                       ,4,100028660,3,1,20151223,1,1,2,8660, 
1=930800,301920,20151111,20160105,TOD4FRONT                     ,Tod                           ,1,-1,3,1,20151223,1,1,6819,10681, 
59970800,491044,20151125,20151229,3WayTGE4L                     ,Toiletries SP G End           ,1,168197090,3,1,20151223,255,1,6819,7090, 
3<9?0800,307500,20151230,20160119,17 Cosmetics Hot Spot LGE 1 St,17 SS Cosmetics               ,1,-1,3,255,20151223,2,1,6819,10967, 
8<:<0800,192824,20151230,20160119,CMG2                          ,Mid Gondola                   ,1,168197115,3,255,20151223,2,1,6819,7115, 
>69;0800,20293,20160120,21991231,ShmpCond Mid                  ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
6<870800,341464,20151125,20151229,Soap&Glory Hot Spot Stock POG ,Soap And Glory SS Cosmetics   ,1,-1,3,1,20151223,255,1,6819,10967, 
=230800,416428,20150727,21991231,Tena1                         ,Incontinence Healthcare       ,1,100020008,3,1,20151223,1,1,2,8, 
>0990800,394035,20151125,20151229,MG                            ,Mid Gondola                   ,1,168197115,3,1,20151223,255,1,6819,7115, 
15;50800,31731,20160120,21991231,CLIP7                         ,Clipstrips                    ,1,168199456,3,255,20151223,1,1,6819,9456, 
59:70800,103948,20160203,21991231,Snack Mid                     ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
44950800,249755,20151125,20151229,Ind Bath Mid                  ,Mid Gondola                   ,1,168197115,3,1,20151223,255,1,6819,7115, 
7::30800,301911,20160106,21991231,TOD1BACK                      ,Tod                           ,1,-1,3,255,20151223,1,1,6819,10681, 
=:840800,307543,20151125,20151229,0000307543                    ,Maybelline SS Cosmetics       ,1,-1,3,1,20151223,255,1,6819,10967, 
==9=0800,491162,20151209,20160105,0000491162                    ,Photo SP G End                ,1,168197090,3,1,20151223,1,1,6819,7090, 
979;0800,491066,20160120,21991231,3WayTGE7L                     ,Toiletries SP G End           ,1,168197090,3,255,20151223,1,1,6819,7090, 
:39=0800,20378,20160120,21991231,Hair & Styling mid            ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
17:40800,209020,20160120,21991231,BFSDU                         ,BFSDUs                        ,1,168197072,3,255,20151223,1,1,6819,7072, 
