SRPDF.KEY$,SRPDF.SHRT.DESC$,SRPDF.FULL.DESC$,SRPDF.FILLER$
76:50800,LPComp2                                           ,Little People Composite 400mm 2.0G GF                                                               ,               
::90800,No7 7J Wall                                       ,#No7 Q Cosmetics 7.0J GF P6                                                                         ,               
;96<0800,RapidTA                                           ,UK Rapid Till Merchandiser A                                                                        ,               
<>4?0800,SeasMinis3                                        ,Seasonal Miniatures 400mm 3.0G Destination GF                                                       ,               
=36;0800,Baby Accs 10                                      ,Baby Accessories Incl. Mum To Be 400mm 10.0G GF                                                     ,               
<:8?0800,Snack Mid                                         ,Snacks Mid Gondola Mainstream                                                                       ,               
70880800,SeaComp1                                          ,EB Summer Composite 400mm 1.0G Destination GF                                                       ,               
7950800,0000491067                                        ,Toiletries End 7 1.0Y Three Way Unit Right                                                          ,               
:=:90800,Mens Mid                                          ,Mens B Mid Gondola Mainstream                                                                       ,               
40:<0800,Mass Frag Mid                                     ,Mass Fragrance 1 Mid Gondola Mainstream                                                             ,               
4;:60800,0000491150                                        ,Healthcare End 3 3.0Z Three Way Unit Left                                                           ,               
79;30800,0000491161                                        ,Photo End 1 3.0Z Three Way Unit Centre                                                              ,               
19930800,TOD2FRONT                                         ,Fragrance TOD 2 Front                                                                               ,               
10990800,Greetings7                                        ,Greetings 7.0W GF                                                                                   ,               
5=9=0800,0000491060                                        ,Toiletries End 6 1.0Y Three Way Unit Left                                                           ,               
>:60800,BFSDU                                             ,Healthcare Branded FSDU 1 1.0Z                                                                      ,               
=>:90800,BFSDU                                             ,Cosmetic End 2 1.0Y Mainstream                                                                      ,               
10910800,St/GEnd                                           ,Star Gift End 400mm 1.0Y GF                                                                         ,               
:89=0800,BFSDU                                             ,Toiletries Branded FSDU 5 1.0Z                                                                      ,               
28<10800,BSunOld                                           ,Basic Sun "Old" Stock Product POG                                                                   ,               
15;:0800,Ind Bath Mid                                      ,Indulgent Body Care & Gift 2 Mid Gondola 300mm                                                      ,               
3;610800,LFFCab8                                           ,Ladies Fine Fragrance Cabinet 8.0J GF                                                               ,               
1:;50800,OOTW Module                                       ,PH Prime Promotional Site Offer of the Week Module 2.0G                                             ,               
8:60800,0000491136                                        ,Healthcare End 1 3.0Z Three Way Unit Left                                                           ,               
<7<0800,Femcare 5                                         ,Femcare 400mm 5.0G GF                                                                               ,               
9=:10800,BabyEnd2                                          ,Baby End 2 1.0Y Mainstream                                                                          ,               
68;80800,Vit2 mid                                          ,Vitamins 2 Mid Gondola 300mm                                                                        ,               
;6:<0800,ShmpCond Mid                                      ,Shampoo 2 Mid Gondola Mainstream                                                                    ,               
154<0800,Inco 2G                                           ,Incontinence Healthcare 300mm 2.0G GLF                                                              ,               
<4530800,Rimmel R&R 4 Mod                                  ,#Rimmel 4 Mod R&R Product POG                                                                       ,               
=>9=0800,0000491163                                        ,Photo End 1 3.0Z Three Way Unit Left                                                                ,               
;=:>0800,Sun Preps Mid                                     ,Summer Sun Preparations 2 Mid Gondola 400mm                                                         ,               
979;0800,3WayTGE7L                                         ,Toiletries End 7 1.0Y Three Way Unit Left                                                           ,               
:0690800,TILL1                                             ,UK Chemist Till Merchandiser Type 1                                                                 ,               
019=0800,TOD2FRONT                                         ,Fragrance TOD 2 Front                                                                               ,               
<8450800,C&C 4                                             ,Coughs & Colds 300mm 4.0G GLF                                                                       ,               
1:9;0800,CosEnd1                                           ,Cosmetic End 1 (Large - No7 4+ Mods)                                                                ,               
02020800,FlexSp8                                           ,Christmas Flexible Photo Gift FSDU Site 8                                                           ,               
94950800,Femc mid                                          ,Feminine Care Mid Gondola Mainstream                                                                ,               
3>970800,0000491035                                        ,Toiletries End 3 1.0Y Three Way Unit Right                                                          ,               
079>0800,0000412599                                        ,Data Storage Mid Gondola Mainstream                                                                 ,               
26420800,Hair Colours 11                                   ,Hair Colours 400mm 11.0G Destination GF                                                             ,               
<4:<0800,Ind Bath Mid                                      ,Indulgent Body Care & Gift 1 Mid Gondola 300mm                                                      ,               
35970800,BFSDU                                             ,Cosmetics Branded FSDU 3 1.0Z                                                                       ,               
2<9?0800,Hlth Bkwll Mid                                    ,Healthcare Backwall Mid Gondola 2                                                                   ,               
95:<0800,Dental Mid GL                                     ,Dental 1 Mid Gondola Mainstream                                                                     ,               
779=0800,WMD mid                                           ,Weight Management 1 Mid Gondola Mainstream                                                          ,               
2=;90800,3WayHCGE3C                                        ,Healthcare End 3 3.0Z Three Way Unit Centre                                                         ,               
>>9;0800,3WaySSGE3R                                        ,Sun Shop End 3 1.0Y Three Way Unit Right                                                            ,               
<7890800,ChildSeas5                                        ,Childrens Seasonal 400mm 5.0G GF                                                                    ,               
929>0800,BFSDU                                             ,Toiletries Branded FSDU 7 1.0Z                                                                      ,               
33??0700,ToyComp1                                          ,Christmas Little People Composite 400mm 1.0W GF                                                     ,               
;9;10800,IQMFSDU1                                          ,Incremental IQM FSDU 1 1.0Z                                                                         ,               
:0980800,3WayTGE6C                                         ,Toiletries End 6 1.0Y Three Way Unit Centre                                                         ,               
<9=0800,3WayHCSPEnd4C                                     ,Healthcare End 4 3.0Z Three Way Unit Centre                                                         ,               
76;30800,Batmid1                                           ,Batteries 1 Mid Gondola Mainstream                                                                  ,               
8=:?0800,0000491050                                        ,PH Toiletries End 5 1.0Y Three Way Unit Left                                                        ,               
2:9>0800,0000491143                                        ,Healthcare End 2 3.0Z Three Way Unit Left                                                           ,               
604>0700,GCEND1                                            ,Gift Card End 1.0Y                                                                                  ,               
;8900800,Revlon Cosmetics Hot Spot Stock POG               ,Revlon 1 Cosmetics Hot Spot 400mm                                                                   ,               
>8950800,ShmpCond Mid                                      ,Shampoo 2 Mid Gondola Mainstream                                                                    ,               
63:30800,frgunit1                                          ,PH Fragrance Mini Tod 2 1.0Z                                                                        ,               
73310700,0000465975                                        ,PH No7 BFSDU 2 7+                                                                                   ,               
;6:=0800,FragSS1                                           ,Fragrance Supersite Mens 1.0G                                                                       ,               
8:00800,3WayHCSPEnd4L                                     ,Healthcare End 4 3.0Z Three Way Unit Left                                                           ,               
