SRPDF.KEY$,SRPDF.SHRT.DESC$,SRPDF.FULL.DESC$,SRPDF.FILLER$,,
6<870800,Soap&Glory Hot Spot Stock POG                     ,#Soap & Glory hot spot                                                                              ,               ,,
:950800,3WayTGE5R                                         ,Toiletries End 5 1.0Y Three Way Unit Right                                                          ,               ,,
1:590800,Hlth Bkwll Mid                                    ,Healthcare Backwall Mid Gondola 2                                                                   ,               ,,
<>260800,IndBathing12                                      ,Indulgent Body Care & Gift 400mm 12.0G GF                                                           ,               ,,
323?0800,MassSham&Cond9                                    ,Mass Shampoo and Conditioners 400mm 9.0G Destination GF                                             ,               ,,
75880800,491143,Healthcare End 2 3.0Z Three Way Unit Left                                                           ,               ,,
>07?0800,SmokeCess200                                      ,Smoking Cessation Mid Gondola 200mm                                                                 ,               ,,
973>0800,Hlth Bkwll Mid                                    ,Healthcare Backwall Mid Gondola 1                                                                   ,               ,,
72900800,491033,Toiletries End 3 1.0Y Three Way Unit Left                                                           ,               ,,
<?650800,BFSDU                                             ,Toiletries Branded FSDU 1 1.0Z                                                                      ,               ,,
405;0800,H1N1FSDU1 1                                       ,Healthcare Branded FSDU 6 1.0Z                                                                      ,               ,,
0?800800,H1N1FSDU1 1                                       ,Healthcare Branded FSDU 6 1.0Z                                                                      ,               ,,
5=9<0800,Femc mid                                          ,Feminine Care Mid Gondola Mainstream                                                                ,               ,,
847?0800,Dig Care Mid                                      ,Digestive Care 1 Mid Gondola 300mm                                                                  ,               ,,
55870800,Bourjois Cosmetics Hot Spot LGE 1 Stock POG       ,#Bourjois Cosmetics Hot Spot LGE 1 Stock POG                                                        ,               ,,
::=0800,BFSDU                                             ,Healthcare Branded FSDU 1 1.0Z                                                                      ,               ,,
;?8=0800,No7HiddenGems1                                    ,No7 Hidden Gems 1                                                                                   ,               ,,
87360800,NLab Photo                                        ,PH Non Lab Photo Counter                                                                            ,               ,,
<3840800,#BarryM Hot Spot Stock POG                        ,#BarryM Hot Spot Stock POG                                                                          ,               ,,
768?0800,491070,Toiletries End 1 1.0Y Three Way Unit Right                                                          ,               ,,
444<0800,Dep Mid                                           ,Depilatories Mid Gondola Mainstream                                                                 ,               ,,
82530800,WMD mid                                           ,Weight Management 1 Mid Gondola Mainstream                                                          ,               ,,
30970800,3WayTGE4C                                         ,Toiletries End 4 1.0Y Three Way Unit Centre                                                         ,               ,,
183:0800,SeasonalHealth4                                   ,Seasonal Healthcare 300mm 4.0G HH1 GLF                                                              ,               ,,
745=0800,IQM4+W                                            ,IQM UK Queue System 4.0G + Water Unit                                                               ,               ,,
3<9?0800,17 Cosmetics Hot Spot LGE 1 Stock POG             ,SEVENTEEN 3 Cosmetics Hot Spot 400mm                                                                ,               ,,
81790800,Femc mid                                          ,Feminine Care Mid Gondola Mainstream                                                                ,               ,,
1;;90800,H1N1FSDU1 1                                       ,Healthcare Branded FSDU 6 1.0Z                                                                      ,               ,,
003=0800,H1N1FSDU2 1                                       ,Travel Health BFSDU 1.0Z                                                                            ,               ,,
8870500,MCGrap2                                           ,PH Mini Club Graphics Panel 2.0G Destination GF                                                     ,               ,,
5<:90800,BFSDU                                             ,Cosmetics Branded FSDU 4 1.0Z                                                                       ,               ,,
